,맥주정보,검색이름,맥주이름
33,"bigericsports(177)
🇺🇸Berkeley, United States
2.3May 30, 2018
12 oz Can, poured into a pint glass. Pours a very light yellow with a cream head which dissipates very quickly. Your typical low cost lager, good on a hot summer afternoon.
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
4
Overall
7",Cass Fresh,Cass Fresh
34,"Cristobal37(2,217)
🇺🇸Tustin, United States
1.6May 18, 2018
Can thanks to Lore! Pours really pale yella. Faint nothong aroma. Carbonated and a bit like coors light, just sweeter. Thanks Andras!
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cass Fresh,Cass Fresh
35,"kapusil(2,081)
🇭🇺Budapest, Hungary
1.6May 18, 2018
0.33l can thanks to Lore. Pale yellow body with a white head. The aroma is quite unpleasant. It has faint notes of cardboard and grains. The taste is a bit better with notes of…
Show more
Aroma
2
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",Cass Fresh,Cass Fresh
36,"TimE(8,459)
🇯🇵Tokyo, Japan
1.3May 12, 2018
pale golden color, lots of corn and adjunct notes. Low bitterness. Cass without the C
Aroma
4
Appearance
1
Flavor
3
Mouthfeel
1
Overall
4",Cass Fresh,Cass Fresh
37,"fellebag(1,770)
🇳🇴Oslo, Norway
2.4April 23, 2018
Bottle 33ml. Small white head. Clear color. Aroma is leaves, sweets, earth, cardboard. Sweet taste
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
11",Cass Fresh,Cass Fresh
38,"Lupulus13(392)
🇳🇱Leiden, Netherlands
2.2April 19, 2018
Bottle at Seoul Garden. Pale yellow with thin whit head. Mild carb. Very mild slightly grainy flavor. Innocuous leftover of German beer horizon
Aroma
3
Appearance
4
Flavor
4
Mouthfeel
2
Overall
9",Cass Fresh,Cass Fresh
39,"Lore(4,697)
🇭🇺Budapest, Hungary
0.8April 18, 2018
clear pale yellow 'beer' with practically no head at all, only some white spots on the top of it; aroma of hay, wet grains, cardboard and metallic notes; taste...well besides some…
Show more
Aroma
3
Appearance
1
Flavor
1
Mouthfeel
1
Overall
2",Cass Fresh,Cass Fresh
40,"jhsnitz1(1,060)
🇺🇸Pendleton, United States
2.0March 18, 2018
Tastes like any number of generic lagers, leans toward the sweet side with a lot of carbonation.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
6",Cass Fresh,Cass Fresh
41,"Yarowind(307)
🇷🇺Moscow, Russia
2.0March 17, 2018
Незапоминающееся пиво, на один раз. Подходит только для жары и острых корейских блюд.
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
42,"miggle(587)
🇩🇪Fürth, Germany
1.3January 28, 2018
Golden color, basically no head. Some very wired smell. Taste has sugar. Not much of aroma. High carbonation.…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
1
Overall
5",Cass Fresh,Cass Fresh
43,"DijkBier(1,992)
🇳🇱AMSTERDAM, Netherlands
2.1January 4, 2018
Bottle at Korean restaurant, pours clear golden with white head. Aroma is malty, murky. Taste rather sweet. Little carbonation. That makes it a disappointing pilsener.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Cass Fresh,Cass Fresh
